Ref1,Mod1.1,Mod2.1,Mod3.1,Ref2,Mod1.2,Mod2.2,Mod3.2
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,24.95750739,69.43200017,NaN,NaN,NaN,NaN
78.82424927,74.64771271,47.45748208,106.3931119,181.3158264,221.1390228,205.7394714,200.2389374
NaN,NaN,NaN,19.87668992,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,5.661780331,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
